,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
10,5.492045788,310488.6925,3.54947649,4.382151467,3543.859458,24107.46069,2
11,5.509211641,323006.7819,3.566736755,4.398690766,3687.540128,25043.25445,2
12,5.526377494,336029.5679,3.58399702,4.415230065,3837.046124,26015.37348,2
13,5.543543346,349577.3985,3.601257284,4.431769364,3992.613625,27025.22784,2
14,5.560709199,363671.442,3.618517549,4.448308663,4154.488386,28074.28232,2
15,5.577875051,378333.7204,3.635777814,4.464847962,4322.926126,29164.05857,2
16,5.595040904,393587.1434,3.653038079,4.481387261,4498.19293,30296.13733,2
17,5.612206756,409455.5444,3.670298343,4.49792656,4680.565675,31472.16066,2
18,5.629372609,425963.7177,3.687558608,4.514465859,4870.33246,32693.8344,2
19,5.646538461,443137.4572,3.704818873,4.531005157,5067.793065,33962.93058,2
20,5.663704314,461003.5968,3.722079138,4.547544456,5273.259425,35281.29003,2
21,5.680870166,479590.0524,3.739339402,4.564083755,5487.056123,36650.82503,2
22,5.698036019,498925.865,3.756599667,4.580623054,5709.5209,38073.52209,2
23,5.715201871,519041.2469,3.773859932,4.597162353,5941.00519,39551.44484,2
24,5.732367724,539967.6282,3.791120196,4.613701652,6181.874677,41086.737,2
25,5.749533577,561737.7062,3.808380461,4.630240951,6432.509869,42681.62551,2
26,5.766699429,584385.4967,3.825640726,4.64678025,6693.306705,44338.42377,2
27,5.783865282,607946.3868,3.842900991,4.663319549,6964.677171,46059.53497,2
28,5.801031134,632457.19,3.860161255,4.679858848,7247.049962,47847.45556,2
29,5.818196987,657956.2046,3.87742152,4.696398147,7540.87115,49704.77895,2
30,5.835362839,684483.2725,3.894681785,4.712937446,7846.604895,51634.19917,2
31,5.852528692,712079.8422,3.91194205,4.729476745,8164.734174,53638.51485,2
32,5.869694544,740789.0332,3.929202314,4.746016043,8495.761545,55720.63326,2
33,5.886860397,770655.7034,3.946462579,4.762555342,8840.209943,57883.5745,2
34,5.904026249,801726.5195,3.963722844,4.779094641,9198.623505,60130.47593,2
35,5.921192102,834050.0293,3.980983109,4.807629065,9571.568428,64213.9026,2
36,5.938357954,867676.7382,3.998243373,4.837633259,9959.633865,68807.10072,2
37,5.955523807,902659.1878,4.015503638,4.867637452,10363.43286,73728.8487,2
38,5.97268966,939052.038,4.032763903,4.897641646,10783.60329,79002.6476,2
39,5.989855512,976912.1524,4.050024167,4.92764584,11220.80894,84653.6795,2
40,6.007021365,1016298.687,4.067284432,4.957650033,11675.74045,90708.92775,2
41,6.024187217,1057273.184,4.084544697,4.987654227,12149.11651,97197.3058,2
42,6.04135307,1099899.665,4.101804962,5.017658421,12641.68491,104149.7953,2
43,6.058518922,1144244.734,4.126784536,5.047662614,13390.12207,111599.5939,2
44,6.075684775,1190377.679,4.159784171,5.077666808,14447.21617,119582.274,2
45,6.092850627,1238370.584,4.192783806,5.107671002,15587.76343,128135.9525,2
46,6.11001648,1288298.437,4.225783441,5.137675195,16818.35212,137301.4726,2
47,6.127182332,1340239.25,4.258783076,5.167679389,18146.09064,147122.5992,2
48,6.144348185,1394274.18,4.291782711,5.197683582,19578.64856,157646.2275,2
49,6.161514038,1450487.657,4.324782346,5.227687776,21124.30093,168922.6073,2
50,6.17867989,1508967.514,4.357781981,5.25769197,22791.97609,181005.5827,2
51,6.195845743,1569805.125,4.390781616,5.287696163,24591.30722,193952.849,2
